id,IATA,en-GB,latitude,longitude,vibes
128668313,ADF,Adiyaman (ADF),37.731369,38.468936,null
129055246,ADG,Adrian (ADG),41.86921,-84.07467,null
129055890,ADH,Aldan (ADH),58.6,125.4,null
129053026,ADI,Arandis (ADI),-22.4,15,null
129051955,ADJ,Amman Civil - Marka (ADJ),31.95,35.983333,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
128668204,ADK,Adak Island (ADK),51.882778,-176.644722,null
104120231,ADL,Adelaide (ADL),-34.948333,138.534722,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
129056447,ADM,Ardmore Municipal Arpt (ADM),34.303056,-97.019444,null
129052412,ADN,Andes (ADN),5.666667,-75.933333,null
129054811,ADO,Andamooka (ADO),-31.016667,137.15,null
136218710,ADP,Gal Oya (ADP),7.336944,81.630278,null
128668048,ADQ,Kodiak (ADQ),57.754167,-152.483333,null
129057723,ADR,Andrews (ADR),33.45,-79.566667,null
129057411,ADT,Ada (ADT),34.8,-96.666667,null
128668205,ADU,Ardabil (ADU),38.25,48.3,null
129055880,ADV,Andover (ADV),51.216667,-1.466667,null
129053431,ADW,Camp Springs Andrews AFB (ADW),38.816667,-76.866667,null
129056814,ADY,Alldays (ADY),-22.666667,29.05,null
128668187,ADZ,San Andres Island (ADZ),12.583333,-81.7,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""1"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129054482,AEA,Abemama (AEA),0.483333,173.85,null
128668206,AEB,Baise (AEB),23.7172,106.9506,null
129055245,AED,Aleneva (AED),58.033333,-152.9,null
128667329,AEG,Aek Godang (AEG),1.400235,99.430276,null
129053025,AEH,Abeche (AEH),13.851389,20.850833,null
129056446,AEI,Algeciras (AEI),36.183333,-5.45,null
129052411,AEJ,Ahmed Al Jaber (AEJ),38.823848,-106.125993,null
129053850,AEK,Aseki (AEK),-7.366667,146.283333,null
129055879,AEL,Albert Lea (AEL),43.68135,-93.36743,null
160928620,AEM,Amgu (AEM),45.841667,137.678333,null
129054810,AEO,Aioun El Atrouss (AEO),16.709167,-9.635556,null
128668190,AEP,Buenos Aires Jorge Newbery (AEP),-34.558889,-58.415833,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""1"",""outdoor_adventures"":""0""}"
114095908,AER,Sochi (AER),43.45,39.9333,null
128667590,AES,Aalesund Vigra (AES),62.5625,6.105278,null
128668208,AET,Allakaket (AET),66.561667,-152.658333,null
129057722,AEU,Abu Musa (AEU),25.8875,55.041667,null
95674403,AEX,Alexandria Internation (AEX),31.333333,-92.55,null
104120368,AEY,Akureyri (AEY),65.666667,-18.166667,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
128668472,AFA,San Rafael (AFA),-34.589167,-68.400556,null
129057410,AFD,Port Alfred (AFD),-33.583333,26.883333,null
129052975,AFF,Colorado Springs USAF Academy (AFF),38.833333,-104.7,null
129056813,AFI,Amalfi (AFI),6.916667,-75.066667,null
128668210,AFL,Alta Floresta (AFL),-10,-56,null
129054481,AFN,Jaffrey (AFN),42.833333,-72.066667,null
129055244,AFO,Afton (AFO),42.7001,-110.943031,null
129053847,AFR,Afore (AFR),-9.133333,148.383333,null
128668211,AFS,Zarafshan (AFS),41.6136,64.2331,null
129054985,AFT,Afutara (AFT),-9.2,160.85,null
129056445,AFW,Dallas Fort Worth Alliance (AFW),32.986667,-97.316667,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129052410,AFY,Afyon (AFY),38.733333,30.6,null
128668186,AFZ,Sabzevar (AFZ),36.168056,57.595278,null
95673640,AGA,Agadir (AGA),30.325619,-9.412708,null
129051954,AGB,Augsburg (AGB),48.425278,10.931667,null
129055878,AGC,Pittsburgh Allegheny County (AGC),40.354722,-79.93,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129054809,AGD,Anggi (AGD),-1.383333,133.866667,null
129057721,AGE,Wangerooge (AGE),53.783333,7.916667,null
128668212,AGF,Agen (AGF),44.173611,0.598611,null
129053846,AGG,Angoram (AGG),-4.168611,144.073889,null
95673521,AGH,Angelholm Helsingborg (AGH),56.293056,12.8625,null
129057409,AGI,Wageningen (AGI),5.833333,-56.833333,null
129052974,AGJ,Aguni (AGJ),26.589722,127.238056,null
129056812,AGK,Kagua (AGK),-6.403333,143.846667,null
129054480,AGL,Wanigela (AGL),-9.340278,149.155278,null
128667328,AGM,Tasiilaq (AGM),65.6,-37.683333,null
128668213,AGN,Angoon (AGN),57.503889,-134.583333,null
129053023,AGO,Magnolia (AGO),33.22791,-93.21683,null
95565095,AGP,Malaga (AGP),36.6765707,-4.4940091,"{""nightlife_and_entertainment"":""1"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""1"",""outdoor_adventures"":""0""}"
129056444,AGQ,Agrinion (AGQ),38.604167,21.351944,null
95673463,AGR,Agra (AGR),27.158333,77.962778,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""1"",""great_food"":""0"",""outdoor_adventures"":""0""}"
95674191,AGS,Augusta Bush Field (AGS),33.366389,-81.966944,null
128668214,AGT,Ciudad del Este (AGT),-25.461415,-54.843611,null
95673515,AGU,Aguascalientes (AGU),21.7,-102.316667,null
129052409,AGV,Acarigua (AGV),9.552222,-69.233333,null
129055877,AGW,Agnew (AGW),-12.15,142.15,null
128668471,AGX,Agatti Island (AGX),10.828351031747045,72.17931386441794,null
129057720,AGZ,Aggeneys (AGZ),-29.28191,18.81366,null
222500228,AHA,Maa Mahamaya (AHA),22.995216477055823,83.20084286023938,null
128668215,AHB,Abha (AHB),18.233333,42.65,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""0"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""1""}"
129057408,AHC,Herlong (AHC),40.15,-120.133333,null
129052973,AHD,Ardmore Downtown (AHD),34.166667,-97.133333,null
128668311,AHE,Ahe (AHE),-14.428056,-146.256944,null
129056811,AHF,Arapahoe (AHF),40.3,-99.9,null
129054479,AHH,Amery (AHH),45.28107,-92.37519,null
129055242,AHI,Amahai (AHI),-3.333333,128.916667,null
140000526,AHJ,Aba/Hongyuan (AHJ),32.529167,102.356944,null
129053022,AHL,Aishalton (AHL),2.483333,-59.316667,null
156398376,AHM,Ashland (Oregon) (AHM),42.189404,-122.65686,null
95674395,AHN,Athens Ben Epps (AHN),33.9483,-83.3269,null
95674177,AHO,Alghero Sardinia (AHO),40.630556,8.288889,"{""nightlife_and_entertainment"":""0"",""underrated_destinations"":""1"",""beach"":""0"",""art_and_culture"":""0"",""great_food"":""0"",""outdoor_adventures"":""0""}"
129056443,AHS,Ahuas (AHS),15.441667,-84.425,null
129056808,AHT,Amchitka (AHT),51.5,179,null
128668046,AHU,Al Hoceima Charif Idr (AHU),35.179722,-3.836944,null
129055876,AHY,Ambatolahy (AHY),-20.016667,45.533333,null
129054807,AHZ,Alpe D'Huez (AHZ),45.083333,6.083333,null
128668047,AIA,Alliance (AIA),42.050567,-102.806625,null
129057719,AIB,Anita Bay (AIB),56.233333,-132.383333,null
129052408,AIC,Ailinglapalap (AIC),7.278821,168.825497,null
129053796,AID,Anderson (AID),40.166667,-85.683333,null
129057407,AIE,Aiome (AIE),-5.166667,144.666667,null
129052972,AIF,Assis (AIF),-22.666667,-50.416667,null
129056810,AIG,Yalinga (AIG),6.516667,23.25,null
129054478,AIH,Aiambak (AIH),-7.348611,141.266389,null
129055241,AII,Alisabieh (AII),11.15,42.716667,null
129053021,AIK,Aiken (AIK),33.64931,-81.68427,null
129056442,AIL,Ailigandi (AIL),9.25,-78.083333,null
129052407,AIM,Ailuk Island (AIM),10.2,169.983333,null
128667589,AIN,Wainwright (AIN),70.633333,-160.033333,null
129055875,AIO,Atlantic (AIO),41.4,-95.016667,null
179044476,AIP,Adampur (AIP),31.433056,75.760556,null
129057718,AIR,Aripuana (AIR),-10.25,-59.383333,null
129053795,AIS,Arorae Island (AIS),-2.65,176.833333,null
128668185,AIT,Aitutaki (AIT),-18.828377800837607,-159.7673211074827,null
128668218,AIU,Enua (AIU),-19.96748366867277,-158.12133562774994,null
129057406,AIV,Aliceville (AIV),33.133333,-88.15,null
129052971,AIW,Ai-Ais (AIW),-27.983333,17.583333,null
218437830,AIY,Araçuaí (AIY),-16.851020190604913,-42.04643863068214,null
129056809,AIZ,Kaiser / Lake Ozark (AIZ),38.098333,-92.547222,null
95674358,AJA,Ajaccio (AJA),41.924167,8.803056,null
128667327,AJF,Jouf (AJF),29.78513,40.10001,null
128668219,AJI,Agri (AJI),39.65,43.025,null
